PLAYER,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,Season,Team,GW18,GW19,GW20,GW21
John Abraham,,,Q,,Q,Q,Q,,,,,,,,,,,11,ATL,,,,
Jonathan Babineaux,Q,O,O,O,Q,Q,P,,,,,,,Q,,,P,11,ATL,,,,
Sam Baker,,,,Q,,,Q,O,O,O,Q,Q,Q,,,,,11,ATL,,,,
Justin Blalock,,,,,,,,,,,Q,,,,,,,11,ATL,,,,
Rob Bruggeman,P,,,,,,,,,,,,,,,,,11,ATL,,,,
Matt Bryant,,,,,,,,,,,,,,P,,,,11,ATL,,,,
Tyson Clabo,Q,,,,,,,,,,,,,P,,,,11,ATL,,,,
Mike Cox,,,,,,,,,,,,,,,,,P,11,ATL,,,,
Harry Douglas,,Q,,,,,,,,P,,,Q,Q,Q,Q,Q,11,ATL,,,,
Ray Edwards,,,Q,,,,,,Q,P,,,P,P,,Q,,11,ATL,,,,
Tony Gonzalez,,,,,,Q,P,Q,Q,,,,,,,,,11,ATL,,,,
Brent Grimes,,,,,,,,,P,Q,Q,O,O,O,Q,Q,Q,11,ATL,,,,
Joe Hawley,,,,,,,,,,,,,P,,,,,11,ATL,,,,
Kelvin Hayden,,,Q,Q,,,,,,,Q,Q,Q,Q,Q,IR,IR,11,ATL,,,,
Peria Jerry,,,,,,,,,,,,,,,,,P,11,ATL,,,,
Mike Johnson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,11,ATL,,,,
Julio Jones,,,,,,O,Q,Q,Q,D,Q,Q,Q,Q,,P,P,11,ATL,,,,
Reggie Kelly,,,,,,,,,,,,,,,,Q,P,11,ATL,,,,
Curtis Lofton,,,,Q,,,,,P,Q,Q,,,,Q,Q,P,11,ATL,,,,
Cliff Matthews,,,,O,Q,Q,,,,,,,,,,,,11,ATL,,,,
Todd McClure,O,Q,Q,,Q,Q,Q,,,,,,,,,,,11,ATL,,,,
Kerry Meier,,,,,,,,,,,,,,,D,Q,Q,11,ATL,,,,
William Moore,,,,,Q,Q,,,Q,D,Q,,,,,,Q,11,ATL,,,,
Ovie Mughelli,,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,11,ATL,,,,
Stephen Nicholas,,,Q,D,Q,,,,,,,Q,Q,Q,Q,Q,D,11,ATL,,,,
Chris Owens,,Q,,,P,Q,Q,P,,,,,Q,P,P,P,P,11,ATL,,,,
Michael Palmer,,,,,Q,,,,,,,,,,,Q,Q,11,ATL,,,,
Corey Peters,Q,P,P,,,,,,P,,Q,,,,Q,,,11,ATL,,,,
Mike Peterson,,,,,,,,,,,,,,,,IR,IR,11,ATL,,,,
Garrett Reynolds,,,,,,Q,Q,,,,,,,,,,,11,ATL,,,,
Dunta Robinson,P,,,,,,,,P,,,P,,,,,,11,ATL,,,,
Matt Ryan,,,Q,,,,,,,,,,,,,,,11,ATL,,,,
James Sanders,,,,,,Q,Q,,,,,,,,,,,11,ATL,,,,
Shann Schillinger,,,P,,,,,,,,,,,,,,,11,ATL,,,,
Lawrence Sidbury,P,,,,,,,,,,,,,,,,,11,ATL,,,,
Antone Smith,,,,,,,,,,P,,,,,,,,11,ATL,,,,
Jason Snelling,,,,D,P,,,,,Q,,,,,Q,,Q,11,ATL,,,,
Will Svitek,,,,,,,,,,,,,Q,Q,Q,P,,11,ATL,,,,
Michael Turner,,,,,,,,,,,,Q,Q,Q,Q,Q,P,11,ATL,,,,
Vance Walker,,,,,,,,,,,,Q,P,,,,,11,ATL,,,,
Sean Weatherspoon,,,,,,,,,,,,,,,,,P,11,ATL,,,,
Roddy White,P,P,Q,Q,Q,P,P,,,,,,P,,,,P,11,ATL,,,,
John Abraham,,,Q,,,,,,P,Q,Q,,,,,,P,12,ATL,Q,,,
Jonathan Babineaux,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,Q,Q,Q,,12,ATL,P,,,
Sam Baker,,,,,,,,,Q,,,Q,,Q,,,,12,ATL,,,,
Justin Blalock,,,,,,,,,,,,,,Q,,,,12,ATL,,,,
Matt Bryant,,,,,,,,Q,,,Q,,,,,,,12,ATL,,,,
Tyson Clabo,,Q,Q,Q,,,,,,,,,,,Q,,,12,ATL,,,,
Kevin Cone,,,,,,Q,,Q,Q,Q,Q,Q,,,,IR,IR,12,ATL,IR,,,
Dominique Davis,,,,,,Q,,,,,,,,,,,,12,ATL,,,,
Drew Davis,,,,,,,,Q,,,,,,,,,,12,ATL,,,,
Harry Douglas,,,,,,,Q,Q,Q,Q,,Q,,Q,Q,,,12,ATL,,,,
Bradie Ewing,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Tommy Gallarda,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Tony Gonzalez,,,,,,,,,,Q,,,,,,,,12,ATL,,,,
Brent Grimes,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Joe Hawley,,,,,,,,,,,,,,,P,,,12,ATL,,,,
Chris Hope,,,,,,,,,,,,,,Q,,,,12,ATL,,,,
Robert James,,Q,,,,,,,,,,,,,,,,12,ATL,,,,
Peria Jerry,,,,,,Q,,,Q,,Q,Q,Q,,,,,12,ATL,,,,
Julio Jones,,,Q,Q,P,,,,Q,Q,Q,,,,,,,12,ATL,,,,
Cliff Matthews,,,,,,,,,,,,,,,Q,Q,,12,ATL,,,,
Robert McClain,,,,,,,,,Q,,,,,,,,,12,ATL,,,,
Todd McClure,,,,,Q,Q,,,,,,,,,,,,12,ATL,,,,
Charles Mitchell,,,,,,,,,Q,Q,Q,Q,,,,,Q,12,ATL,,,,
William Moore,,,,,Q,Q,,,,,,,Q,Q,Q,Q,Q,12,ATL,P,,,
Stephen Nicholas,,,Q,Q,Q,Q,,,,Q,,Q,,,,,,12,ATL,P,,,
Adam Nissley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Chris Owens,Q,Q,D,Q,Q,,,,Q,,Q,,,,Q,Q,Q,12,ATL,Q,,,
Michael Palmer,,,,O,Q,Q,Q,,,,,Q,,,,,,12,ATL,,,,
Corey Peters,O,O,O,O,O,O,,,,,Q,Q,,,,Q,,12,ATL,,,,
Mike Peterson,,,,Q,,,,,,P,,,,,,,,12,ATL,,,,
Lousaka Polite,,,,Q,Q,Q,,,,,,,,,,,,12,ATL,,,,
Garrett Reynolds,,,,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Dunta Robinson,,,,,,P,,,,,,Q,,,,,P,12,ATL,,,,
Matt Ryan,,,,,,,,,,,P,,,,,,,12,ATL,,,,
Asante Samuel,,Q,,,,,,,Q,,Q,Q,Q,Q,,D,,12,ATL,,,,
Shann Schillinger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Antone Smith,,,Q,Q,Q,Q,Q,,,,,,,,,,,12,ATL,,,,
Jason Snelling,P,,,,,,,,Q,,,,,,,,,12,ATL,,,,
Will Svitek,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,12,ATL,IR,,,
Michael Turner,,,,,,,,,,Q,Q,,P,,,,,12,ATL,Q,,,
Vance Walker,,,,,,,,Q,,Q,Q,Q,,,,,,12,ATL,,,,
Sean Weatherspoon,,Q,Q,,,,,Q,Q,Q,Q,Q,,,,,,12,ATL,,,,
Roddy White,,P,Q,,,,,P,,,,,,Q,P,Q,,12,ATL,,,,
Robert Alford,,,,,,,Q,,,,,,,,,Q,,13,ATL,,,,
Jonathan Babineaux,,Q,,,P,,,,,,P,,,,,,,13,ATL,,,,
Sam Baker,,Q,Q,Q,O,D,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Kroy Biermann,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Matt Bryant,P,,,,,,,,,,,,,,,,,13,ATL,,,,
Chase Coffman,,,,,Q,Q,Q,,,,,,,,,,,13,ATL,,,,
Dominique Davis,,,,,,,,,,,Q,,,,,,,13,ATL,,,,
Drew Davis,,,,,P,,,,,,,,,,,,,13,ATL,,,,
Thomas DeCoud,,Q,,,,,,,,,,,,D,P,,,13,ATL,,,,
Akeem Dent,,,Q,,O,Q,Q,P,,,,Q,,,,,,13,ATL,,,,
Harry Douglas,,,,,,,,,,Q,,,,,,,,13,ATL,,,,
Bradie Ewing,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Tony Gonzalez,,,,,,,,,,Q,Q,P,Q,Q,Q,P,,13,ATL,,,,
Malliciah Goodman,,,,,,,,,,Q,O,Q,,,,,,13,ATL,,,,
Joe Hawley,P,,,,,,,Q,,,,,,,,,,13,ATL,,,,
Steven Jackson,,Q,O,O,O,O,Q,,,P,,,,,,,,13,ATL,,,,
Peria Jerry,,Q,,,,,,Q,Q,P,P,,,,,,,13,ATL,,,,
Darius Johnson,,,,,,,,,,,,,,,O,Q,,13,ATL,,,,
Mike Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Julio Jones,,P,Q,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Peter Konz,,,Q,Q,,,,,,,,,Q,,,P,,13,ATL,,,,
Cliff Matthews,,Q,Q,,,,,,,,,,,,,,,13,ATL,,,,
Robert McClain,,,,P,,,,,,,,,,,,,,13,ATL,,,,
William Moore,,,,,,,,Q,,,,,,,,,,13,ATL,,,,
Zeke Motta,,,,,,,,,,,P,Q,Q,Q,Q,IR,,13,ATL,,,,
Stephen Nicholas,Q,,,,,,Q,Q,Q,,,,,,,,,13,ATL,,,,
Corey Peters,,,,,,,Q,,Q,Q,,,,,,O,,13,ATL,,,,
Sean Renfree,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Garrett Reynolds,,,,Q,,,,P,,,,,,,,,,13,ATL,,,,
Jacquizz Rodgers,,,,,,,,,,,P,,,,,D,,13,ATL,,,,
Asante Samuel,Q,Q,Q,Q,Q,,,,,,,,,,,,,13,ATL,,,,
Antone Smith,,,,,,,,,,,,,,Q,Q,,,13,ATL,,,,
Jason Snelling,,,,,,P,Q,Q,,Q,,,,,,,,13,ATL,,,,
Andrew Szczerba,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,13,ATL,,,,
Jeremy Trueblood,,,,,,,,,,,P,,,,,,,13,ATL,,,,
Desmond Trufant,,,,,,,,,,,,Q,,,,,,13,ATL,,,,
Osi Umenyiora,,,,,,,,Q,,,,,,,,,,13,ATL,,,,
Josh Vaughan,,,,P,,,,,,,,,,,,,,13,ATL,,,,
Sean Weatherspoon,,Q,IR,IR,IR,IR,IR,IR,IR,P,,Q,Q,Q,Q,Q,,13,ATL,,,,
Roddy White,P,P,Q,P,P,D,Q,Q,Q,P,,,,Q,,,,13,ATL,,,,
Paul Worrilow,,,,,Q,,,,,,P,,,Q,,,,13,ATL,,,,
Robert Alford,,,,,,,,,,,O,O,O,O,IR,IR,,14,ATL,,,,
Jon Asamoah,,,,,,,,,,,P,,,Q,Q,Q,,14,ATL,,,,
Jonathan Babineaux,,,,,,,Q,Q,Q,,P,,,,,,,14,ATL,,,,
Sam Baker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Justin Blalock,,,,,Q,Q,Q,P,,Q,,,P,Q,,,,14,ATL,,,,
Matt Bryant,,,,,,,,,,,,,,,,P,,14,ATL,,,,
Gabe Carimi,,,,,,,,,,,,,,,,,,14,ATL,,,,
Drew Davis,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,14,ATL,,,,
Patrick DiMarco,,,,,,,,,,,Q,,,Q,,,,14,ATL,,,,
Harry Douglas,,,,P,D,Q,O,Q,P,P,Q,Q,Q,Q,P,Q,,14,ATL,,,,
Joe Hawley,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Devin Hester,,,,P,P,Q,Q,,,Q,P,,,,,,,14,ATL,,,,
Lamar Holmes,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Kemal Ishmael,,,,,Q,Q,,,,,,,,,,,,14,ATL,,,,
Steven Jackson,,,,,,,,,,,Q,,,,,O,,14,ATL,,,,
Mike Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Julio Jones,,,P,,P,P,P,P,,,P,,,Q,Q,Q,,14,ATL,,,,
Peter Konz,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Stansly Maponga,,,,,,,,,,,,,Q,P,,,,14,ATL,,,,
Jonathan Massaquoi,,,,,,,,,Q,Q,,,,,,,,14,ATL,,,,
Jake Matthews,Q,D,Q,,,Q,,,,,,,,,,,,14,ATL,,,,
Robert McClain,,,,,,,,,,,,,,,,Q,,14,ATL,,,,
William Moore,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,Q,Q,IR,,14,ATL,,,,
Zeke Motta,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,14,ATL,,,,
Corey Peters,P,,,,,,,,,,,,,,,,,14,ATL,,,,
Jonathan Scott,,,,,,,,,Q,Q,Q,P,,,,,,14,ATL,,,,
Prince Shembo,,,P,P,Q,Q,Q,P,,,,,,,,,,14,ATL,,,,
Antone Smith,,,,P,,,,,P,,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Paul Soliai,,,,,,,,,,,,,,Q,,,,14,ATL,,,,
Dezmen Southward,P,,,,,,,,,,,,,,,,,14,ATL,,,,
Marquis Spruill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Nathan Stupar,,,,,,,Q,,,,,,,,,,,14,ATL,,,,
Sean Weatherspoon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,14,ATL,,,,
Roddy White,Q,P,Q,P,,,,,,,,Q,Q,Q,P,Q,,14,ATL,,,,
Josh Wilson,,,,,,,,,,Q,,,,,P,Q,,14,ATL,,,,
Phillip Adams,,,,,,,,,,,,,,,,P,,15,ATL,,,,
Robert Alford,,,,,,,,,O,P,P,,,,,P,,15,ATL,,,,
Ricardo Allen,,,,O,P,,,,,,,,P,,,,,15,ATL,,,,
Jon Asamoah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,15,ATL,,,,
Jonathan Babineaux,,,,,,,,P,P,,,,,,,,,15,ATL,,,,
Joplo Bartu,P,,,,,,,,,,,,,,,,,15,ATL,,,,
Vic Beasley,,,,,,,,,Q,,,,,,,,,15,ATL,,,,
Kroy Biermann,,,P,,,,,,,,,,,,,,,15,ATL,,,,
Matt Bryant,,,,,,,,,,,IR,IR,O,IR,IR,IR,,15,ATL,,,,
Chris Chester,,,,,,,,,,,,P,P,P,P,P,,15,ATL,,,,
Adrian Clayborn,,P,,,,,,,,,,,,,,,,15,ATL,,,,
Tevin Coleman,,,O,O,P,,,,,,,,,,O,O,,15,ATL,,,,
Justin Durant,,,P,,O,O,P,,O,P,,P,,,,P,,15,ATL,,,,
Devonta Freeman,P,,,P,,P,,,,,O,P,,,,P,,15,ATL,,,,
Malliciah Goodman,,O,P,,,,,,,,,,,,,,,15,ATL,,,,
Shayne Graham,,,,,,,,,,,P,,,,,,,15,ATL,,,,
Ra'Shede Hageman,,,,,,,,,,,,,,,Q,,,15,ATL,,,,
Leonard Hankerson,,,,,P,P,P,O,O,P,IR,IR,IR,,IR,,,15,ATL,,,,
Devin Hester,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,P,P,P,P,,15,ATL,,,,
Lamar Holmes,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,15,ATL,,,,
Travis Howard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,15,ATL,,,,
Kemal Ishmael,,,,,,,,,,,,,P,,,,,15,ATL,,,,
Tyson Jackson,,,,,,,,,P,P,,,,,,,,15,ATL,,,,
Grady Jarrett,,,,,,,,,,P,,,,,O,P,,15,ATL,,,,
Julio Jones,,P,P,P,Q,P,,,,,,,P,,,,,15,ATL,,,,
Andy Levitre,,,,,,,,,,,P,,,,,,,15,ATL,,,,
Jake Matthews,P,P,,,,,,,,,,,,,P,,,15,ATL,,,,
Tony Moeaki,,,,,,,,,,,,O,P,,,,,15,ATL,,,,
Collin Mooney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,15,ATL,,,,
William Moore,,P,,,,,P,O,O,P,,,,IR,IR,IR,,15,ATL,,,,
Michael Person,,,,,,O,P,,P,,,,,,,,,15,ATL,,,,
Brooks Reed,O,O,O,P,P,,,,,,,P,,,,,,15,ATL,,,,
Matt Ryan,,,,,,,,,,,,,,,,P,,15,ATL,,,,
O'Brien Schofield,,P,,,,,,P,,,,,,,,,,15,ATL,,,,
Paul Soliai,,,P,,,,,,,P,,P,O,P,P,IR,,15,ATL,,,,
James Stone,,,,,,,,,P,,,,,IR,IR,IR,,15,ATL,,,,
Jacob Tamme,,,,O,P,,,,,,,,P,P,,,,15,ATL,,,,
Robenson Therezie,P,,,,,,,,,O,P,,,,,,,15,ATL,,,,
Desmond Trufant,,,,,,,,,P,,,,,P,,,,15,ATL,,,,
Eric Weems,,,,,,,P,,,,,,,,,P,,15,ATL,,,,
Roddy White,P,,,,P,,P,,,,,,,,,P,,15,ATL,,,,
Nick Williams,,,,,,,,Q,P,,,,,,,,,15,ATL,,,,
Paul Worrilow,,,P,,,,,,,,,,,O,P,P,,15,ATL,,,,
Matthew Bosher,,,,,,,,,,,Q,,,,,,,16,ATL,,,,
De'Vondre Campbell,,O,O,O,O,,,,,,,,,,O,,,16,ATL,,,,
Adrian Clayborn,,,,,,,,,,,,O,O,O,,,,16,ATL,IR,IR,,
Tevin Coleman,,,,,,,,O,O,O,,,,,,,,16,ATL,,,,
Jalen Collins,,,,,,,,,,,,,,O,,,,16,ATL,,,,
Dwight Freeney,,,,,,,,Q,O,,,,,,,,,16,ATL,,,,
Devin Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Taylor Gabriel,,,,,,,O,,,,,,,,,O,,16,ATL,,,,
Dashon Goldson,Q,,,,,,,,,,,,,,,,,16,ATL,,,,
C.J. Goodwin,,,,,,,O,,,,,,,,,,,16,ATL,,,,
Austin Hooper,,,,,,,,,,,,,,,O,O,,16,ATL,,,,
Kemal Ishmael,,,,,,,,,,,,,,IR,IR,IR,IR,16,ATL,IR,IR,,
Deion Jones,,,,,O,,,,,,,,,,,,,16,ATL,,,,
Julio Jones,,,Q,,,,,,,,,,Q,O,,,,16,ATL,,,,
Akeem King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Jake Matthews,,,,,,,,,,,,,Q,,,,,16,ATL,,,,
Chris Mayes,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Keanu Neal,O,O,,,,,,,,,,,,,,,,16,ATL,,,,
Brooks Reed,,Q,,,,,,,,,,,,,,,,16,ATL,,,,
Mohamed Sanu,,,,,,,,,,,,,O,,,,,16,ATL,,,,
Derrick Shelby,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Tyler Starr,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Jacob Tamme,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Desmond Trufant,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
DeMarcus Van Dyke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Terron Ward,Q,,,,,,,,,,,,,,,,,16,ATL,,,,
Sean Weatherspoon,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,16,ATL,IR,IR,,
Nick Williams,,,,,,,,,,,,,,O,,,,16,ATL,,,,
Ricardo Allen,,,,O,,,,,,,,,,,,,,17,ATL,,,,
Vic Beasley,,,O,O,,,,,,,,,,,,,,17,ATL,,,,
Matthew Bosher,,,,,,,,,,Q,,,,,,,,17,ATL,,,,
Matt Bryant,,,,,Q,,,,,,,,,,,,,17,ATL,,,,
Tevin Coleman,,,,,,,,,,,,,,O,,,,17,ATL,,,,
Jack Crawford,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,17,ATL,IR,,,
Devonta Freeman,,,,,,,,,,O,O,,,,,,,17,ATL,,,,
Devin Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,17,ATL,IR,,,
Jermaine Grace,,,,,O,,,,,,,,,,,,,17,ATL,,,,
Brian Hill,,Q,,,,,,,,,,,,,,,,17,ATL,,,,
Andy Levitre,,,,,,,,,Q,,,,O,O,Q,,IR,17,ATL,IR,,,
Alex Mack,,,,,,,,,,,,,,,,Q,,17,ATL,,,,
Quincy Mauger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,17,ATL,IR,,,
Austin Pasztor,Q,,,,,,,,,,,,,,,,,17,ATL,,,,
LaRoy Reynolds,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,17,ATL,,,,
Duke Riley,,,,,,,O,O,O,Q,,,,,,,,17,ATL,,,,
Ty Sambrailo,,,,,,,,,,,O,,,,,,,17,ATL,,,,
Mohamed Sanu,,,,,O,,,,,,,,,,,,,17,ATL,,,,
Eric Saubert,,,,,,,,,,,,,O,,,,,17,ATL,,,,
Ryan Schraeder,,,O,O,,,,,,,,,,,,,,17,ATL,,,,
Levine Toilolo,,,,,,,,,,,,,,,,O,,17,ATL,,,,
Jordan Tripp,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,17,ATL,IR,,,
Desmond Trufant,,,,,,,,,,,,O,,,,,,17,ATL,,,,
Courtney Upshaw,,,O,O,O,,,,,,,,,,,,,17,ATL,,,,
Terron Ward,,,O,O,,,,,,,,,,,,,,17,ATL,,,,
Sean Weatherspoon,,,,,,,,,,,,Q,,,,,,17,ATL,,,,
Robert Alford,,,,,,,,O,,,,,,,,,,18,ATL,,,,
Ricardo Allen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,ATL,,,,
Justin Bethel,,,,O,O,,,,,,,,,,,,,18,ATL,,,,
Matt Bryant,,,,,,,O,O,O,,,,Q,,,,,18,ATL,,,,
Devonta Freeman,,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,ATL,,,,
Brandon Fusco,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,ATL,,,,
Russell Gage,,O,,,,,,,,,,,,,,,,18,ATL,,,,
Ben Garland,O,O,,,,,,,,,,,,,,,,18,ATL,,,,
Josh Harris,Q,,,,,,,,,,,,IR,IR,IR,IR,,18,ATL,,,,
Grady Jarrett,,,,,O,O,,,,,,,,,,,,18,ATL,,,,
Deion Jones,,IR,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,,,18,ATL,,,,
Julio Jones,,,,,,,,,,,,,,,Q,,,18,ATL,,,,
Andy Levitre,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,ATL,,,,
Terrell McClain,,,,,,,,,,,,,,O,,,,18,ATL,,,,
Takkarist McKinley,,,O,,,,,,,,,,,,,,,18,ATL,,,,
Keanu Neal,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,ATL,,,,
Corey Nelson,,,O,,,,,,,,,,,,,,,18,ATL,,,,
Logan Paulsen,,,,,,,,,,,,,O,,,,,18,ATL,,,,
Wes Schweitzer,,,,,,,,,,,,,,,,O,,18,ATL,,,,
Derrick Shelby,,,O,O,O,O,,,Q,,,IR,IR,IR,IR,IR,,18,ATL,,,,
Ito Smith,,,,,,,,,,,,,,,IR,IR,,18,ATL,,,,
Blidi Wreh-Wilson,O,,,,,,,,,,,,,,,,,18,ATL,,,,
Allen Bailey,,,,,,,,,,,,,,O,,,,19,ATL,,,,
Kenjon Barner,,,,O,O,,,,,,,,,,,,,19,ATL,,,,
Kurt Benkert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
Michael Bennett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
Matthew Bosher,,,O,,O,IR,IR,IR,IR,IR,IR,IR,Q,IR,IR,IR,,19,ATL,,,,
Jamon Brown,,,,,O,,,,,,,,,,,O,,19,ATL,,,,
Ryan Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,19,ATL,,,,
Taveze Calhoun,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,19,ATL,,,,
James Carpenter,,,,,,,,O,,,,,O,O,O,IR,,19,ATL,,,,
Adrian Clayborn,,,,,,,,,,,,,,,,O,,19,ATL,,,,
John Cominsky,,,,,,,,,O,,Q,,,,,,,19,ATL,,,,
Johnathan Cyprien,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
Devonta Freeman,,,,,,,,,,O,O,,,,,,,19,ATL,,,,
Russell Gage,,Q,,,,,,,,,,,,,,,,19,ATL,,,,
Matt Gono,O,O,,,,,,,,,,,,,,,,19,ATL,,,,
Alex Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
Ra'Shede Hageman,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
Austin Hooper,,,,,,,,,,O,O,O,,,,,,19,ATL,,,,
Kemal Ishmael,,,,,,,,,,O,O,,,,,,,19,ATL,,,,
Grady Jarrett,,,,,,,,Q,,,,,,,,,,19,ATL,,,,
Julio Jones,,,,,,,,,,,,Q,,,,,,19,ATL,,,,
Damontae Kazee,,,,,Q,,,,,,,,,,,,,19,ATL,,,,
Chris Lindstrom,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,19,ATL,,,,
Takkarist McKinley,,,,,,,,,,,Q,,,,IR,IR,,19,ATL,,,,
Steven Means,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
Keanu Neal,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,ATL,,,,
